101	25.5675282632151	-120.347679384293								1
102	25.8325376818257	-120.400825254379								1
103	26.0979566881734	-120.454404769405								1
104	26.363790512085	-120.508405623897								1
105	26.6300310934744	-120.562831509498								1
106	26.8966765865203	-120.617709990471								1
107	27.1637277910786	-120.673013502552								1
108	27.4311680947581	-120.728780931042								1
109	27.6990094338694	-120.784986680554								1
110	27.9672326733989	-120.841632473853								1
111	28.2358412588796	-120.898781068863								1
112	28.5048380205708	-120.95637536818								1
113	28.7742018545828	-121.014424970073								1
114	29.043946296938	-121.072986725838								1
115	29.3140520895681	-121.132009444698								1
116	29.5845203399658	-121.191526105327								1
117	29.855353324644	-121.251568209740								1
118	30.1265364000874	-121.312086289929								1
119	30.3980722119731	-121.373111601799								1
120	30.6699490700999	-121.434677370133								1
121	30.9421677743235	-121.496730435279								1
122	31.2147264788228	-121.559331586284								1
123	31.4876098632812	-121.622486237557								1
124	31.7608232190532	-121.686174700337								1
125	32.0343561480122	-121.750396728516								1
126	32.3082036664409	-121.815189484627								1
127	32.5823621442241	-121.88052909605								1
128	32.8568305969238	-121.946474382954								1
129	33.1316022565288	-122.012977846207								1
130	33.40666678644	-122.080067050072								1
131	33.682013480894	-122.147725751323								1
132	33.9576520612163	-122.216020399524								1
133	34.2335729291362	-122.284913832142								1
134	34.5097722699565	-122.35442327684								1
135	34.7862310101909	-122.424581712292								1
136	35.0629587481099	-122.49533425608								1
137	35.3399391174316	-122.566774675923								1
138	35.6171770403462	-122.638824216781								1
139	35.894660949707	-122.711572954732								1
140	36.1723813702983	-122.784969698998								1
141	36.4503374407368	-122.859029462261								1
142	36.7285222699565	-122.933799743652								1
143	37.0069361040669	-123.009271929341								1
144	37.2855577776509	-123.085426084457								1
145	37.5643997192383	-123.162317091419								1
146	37.8434381792622	-123.239926984233								1
147	38.1226778338032	-123.318287018807								1
148	38.4021110534668	-123.397388581307								1
149	38.6817283630371	-123.477231671733								1
150	38.9615287780762	-123.557871172505	5.91986264888881	0.491040978667704	11.5177071469558	64.9088663752394	1.1056338028169	Mendocino	California	
151	39.2414980242329	-123.639274843277	13.5735952274712	9.38036461275159	17.1169725031926	20.0266118643665	1.30022598870056	Mendocino	California	
152	39.5216321637554	-123.721473939957	13.9067752970826	10.4798834642435	17.0983799814609	16.2627744574017	1.30022598870056	Mendocino	California	
153	39.8019323041362	-123.804468462544	9.59940398525018	3.41792291446756	13.5024312208901	36.4688045603169	1.30022598870056	Mendocino	California	
154	40.0823812177104	-123.888281053112						Humboldt	California	
155	40.3629827191753	-123.972906051144	13.1161399142577	10.2325340058316	15.5950048470868	14.5894468899887	1.30022598870056	Humboldt	California	
156	40.6437187194824	-124.0583916941	12.0039130108540	7.2706228948201	15.0573204923486	21.3511409429383	1.28659722222222	Humboldt	California	
157	40.9245882341939	-124.144710417717								1
158	41.2055816650391	-124.231897415653								1
159	41.486700980894	-124.319971392232								1
160	41.767937690981	-124.408908720939								1
161	42.0492677996235	-124.498779542984								1
162	42.330697090395	-124.589528729839								1
163	42.6122179339009	-124.681220762191								1
164	42.8938293457031	-124.773880250992								1
165	43.1755132367534	-124.867477663102								1
166	43.4572629620952	-124.962031948951								1
167	43.7390785217285	-125.057596268192								1
168	44.0209417035503	-125.15416372976								1
169	44.302863090269	-125.251723997055								1
170	44.5848169634419	-125.350331952495								1
171	44.8668012311382	-125.449996948242								1
172	45.1488085100728	-125.550714308216								1
173	45.430836708315	-125.652518979965								1
174	45.7128687212544	-125.755424253402								1
175	45.9948997497559	-125.85946876772								1
176	46.2769203186035	-125.964610930412								1
177	46.5589294433594	-126.070922605453								1
178	46.8409118652344	-126.17841511388								1
179	47.1228627850932	-126.287096085087								1
180	47.4047727277202	-126.396986192273								1
181	47.6866330792827	-126.508102416992								1
182	47.9684381792622	-126.620476015152								1
183	48.2501764605122	-126.734111662834								1
184	48.5318384478169	-126.849032986549								1
185	48.8134117126465	-126.965295853153								1
186	49.0949010541362	-127.082884019421								1
187	49.3762865374165	-127.201820127426								1
188	49.6575612714214	-127.322162997338								1
189	49.938720703125	-127.443889740975								1
190	50.2197494506836	-127.567035305885						Comox-Strathcona Regional District	British Columbia	1
191	50.5006436993999	-127.691675493794								1
192	50.7813911437988	-127.817774126607						Mt Waddington Regional District	British Columbia	1
193	51.0619860003071	-127.945373781266								1
194	51.342413871519	-128.07450472924								1
195	51.6226692199707	-128.205200195312								1
196	51.9027404785156	-128.337482575447								1
201	25.6147790108958	-120.053918653919								1
202	25.880053489439	-120.105974505025								1
203	26.1457405090332	-120.158407149776								1
204	26.4118485604563	-120.211281068863								1
205	26.6783599853516	-120.26457435854								1
206	26.945277244814	-120.318281358288								1
207	27.2126021231374	-120.37241535802								1
208	27.4803213919363	-120.427001953125								1
209	27.7484397888184	-120.482024900375								1
210	28.0169434085969	-120.53750413464								1
211	28.2858362505513	-120.593421689926								1
212	28.5551123465261	-120.649814482658								1
213	28.8247618521414	-120.706674883442								1
214	29.0947909201345	-120.763988617928								1
215	29.3651833072785	-120.821788910897								1
216	29.6359419668874	-120.880068132954								1
217	29.9070673296528	-120.938819639144								1
218	30.1785406912527	-120.998088959725								1
219	30.4503722037039	-121.05783425608								1
220	30.7225466082173	-121.118108687862								1
221	30.995059967041	-121.178896011845								1
222	31.2679195404053	-121.240190567509								1
223	31.5411023785991	-121.302013274162								1
224	31.8146218945903	-121.364380128922								1
225	32.0884590148926	-121.427276857438								1
226	32.3626098632812	-121.490705428585								1
227	32.637078315981	-121.554702758789								1
228	32.9118585894185	-121.619272539692								1
