"","lat","lon","aet"
"153",-101.75,44.25,479.095052639052
"154",-101.25,44.25,488.139969151642
"155",-100.75,44.25,501.91589808077
"156",-100.25,44.25,513.737059924984
"157",-99.75,44.25,531.74714926962
"158",-99.25,44.25,527.684906770941
"159",-98.75,44.25,535.166171638208
"160",-98.25,44.25,552.564537466853
"161",-97.75,44.25,557.315498367156
"162",-97.25,44.25,518.44128182414
"163",-96.75,44.25,551.560505933128
"164",-96.25,44.25,554.688958283281
"165",-95.75,44.25,573.544913061894
"166",-95.25,44.25,552.567165420856
"167",-94.75,44.25,578.673057913315
"168",-94.25,44.25,630.939159761823
"169",-93.75,44.25,639.075334015768
"170",-93.25,44.25,624.144181496231
"171",-92.75,44.25,624.492500516237
"172",-92.25,44.25,622.728942044283
"173",-91.75,44.25,596.241038292181
"174",-91.25,44.25,610.831591981463
"175",-90.75,44.25,484.984359466471
"176",-90.25,44.25,456.019330514595
"177",-89.75,44.25,446.254522879492
"178",-89.25,44.25,433.029651852208
"179",-88.75,44.25,527.806927406207
"180",-88.25,44.25,578.662172252545
"181",-87.75,44.25,563.44163119141
"182",-87.25,44.25,NA
"183",-86.75,44.25,NA
"184",-86.25,44.25,426.449730094988
"185",-85.75,44.25,417.487513403932
"186",-85.25,44.25,395.830419945647
"187",-84.75,44.25,396.376842396901
"188",-84.25,44.25,396.632984909927
"189",-83.75,44.25,404.461760611523
"190",-83.25,44.25,NA
"191",-82.75,44.25,NA
"192",-82.25,44.25,NA
"193",-81.75,44.25,NA
"194",-81.25,44.25,451.255575299037
"195",-80.75,44.25,452.183164859889
"196",-80.25,44.25,455.430817965011
"197",-104.25,43.75,423.592702439986
"198",-103.75,43.75,442.165208032355
"199",-103.25,43.75,468.192272936925
"200",-102.75,43.75,462.022018262651
"201",-102.25,43.75,472.24088011522
"202",-101.75,43.75,480.399671732826
"203",-101.25,43.75,487.510621522204
"204",-100.75,43.75,506.673680007691
"205",-100.25,43.75,524.413867999334
"206",-99.75,43.75,532.75746128615
"207",-99.25,43.75,536.89357917849
"208",-98.75,43.75,556.176961353747
"209",-98.25,43.75,557.578042170499
"210",-97.75,43.75,574.687233597506
"211",-97.25,43.75,565.080730797636
"212",-96.75,43.75,573.359168977065
"213",-96.25,43.75,562.590638953377
"214",-95.75,43.75,561.115167304408
"215",-95.25,43.75,573.610160736745
"216",-94.75,43.75,568.81805761205
"217",-94.25,43.75,613.399573291652
"218",-93.75,43.75,614.103385405615
"219",-93.25,43.75,616.835694606532
"220",-92.75,43.75,591.458284102519
"221",-92.25,43.75,612.851828832645
"222",-91.75,43.75,622.380922114709
"223",-91.25,43.75,581.674244129703
"224",-90.75,43.75,552.406484418141
"225",-90.25,43.75,537.653691169864
"226",-89.75,43.75,465.936490787426
"227",-89.25,43.75,471.789803078864
"228",-88.75,43.75,594.1769973794
"229",-88.25,43.75,563.002639383616
"230",-87.75,43.75,541.596624586033
"231",-87.25,43.75,NA
"232",-86.75,43.75,NA
"233",-86.25,43.75,437.84562071145
"234",-85.75,43.75,425.994222684763
"235",-85.25,43.75,430.041568199522
"236",-84.75,43.75,427.869283744483
"237",-84.25,43.75,427.135495833121
"238",-83.75,43.75,520.037522280589
"239",-83.25,43.75,499.544023564318
"240",-82.75,43.75,513.010360801592
"241",-82.25,43.75,NA
"242",-81.75,43.75,504.436489044223
"243",-81.25,43.75,480.333464172771
"244",-80.75,43.75,465.715020968637
"245",-80.25,43.75,467.509369812091
"246",-104.25,43.25,436.006455435883
"247",-103.75,43.25,452.85248093307
"248",-103.25,43.25,470.327241464547
"249",-102.75,43.25,455.592611673055
"250",-102.25,43.25,455.036122585647
"251",-101.75,43.25,458.463423142908
"252",-101.25,43.25,410.119610730791
"253",-100.75,43.25,444.141415824648
"254",-100.25,43.25,450.910272804555
"255",-99.75,43.25,540.63711381075
"256",-99.25,43.25,556.10342219146
"257",-98.75,43.25,582.082805937622
"258",-98.25,43.25,582.5748696964
"259",-97.75,43.25,572.429483384825
"260",-97.25,43.25,572.256968520989
"261",-96.75,43.25,585.156135125493
"262",-96.25,43.25,563.64783161671
"263",-95.75,43.25,560.573016459297
"264",-95.25,43.25,564.48509657658
"265",-94.75,43.25,584.818016625009
"266",-94.25,43.25,607.888250527998
"267",-93.75,43.25,612.64981417032
"268",-93.25,43.25,622.504608992953
"269",-92.75,43.25,619.627263045684
"270",-92.25,43.25,607.39276531979
"271",-91.75,43.25,641.702684323944
"272",-91.25,43.25,649.038418184511
"273",-90.75,43.25,568.684551632963
"274",-90.25,43.25,547.521316033322
"275",-89.75,43.25,531.067542473087
"276",-89.25,43.25,566.034108801046
"277",-88.75,43.25,595.240322219557
"278",-88.25,43.25,569.786858150735
"279",-87.75,43.25,NA
"280",-87.25,43.25,NA
"281",-86.75,43.25,NA
"282",-86.25,43.25,435.637468379529
"283",-85.75,43.25,521.893757507496
"284",-85.25,43.25,456.671150162758
"285",-84.75,43.25,536.435227479436
"286",-84.25,43.25,531.579901965219
"287",-83.75,43.25,542.043088570907
"288",-83.25,43.25,540.972038731359
"289",-82.75,43.25,539.520576543116
"290",-82.25,43.25,NA
"291",-81.75,43.25,525.493989455106
"292",-81.25,43.25,495.529604978496
"293",-80.75,43.25,494.393662559567
"294",-80.25,43.25,515.754456533658
"295",-104.25,42.75,398.072853124002
"296",-103.75,42.75,426.429815987241
"297",-103.25,42.75,468.018687191012
"298",-102.75,42.75,445.002841305337
"299",-102.25,42.75,409.398948164973
"300",-101.75,42.75,401.334997783153
"301",-101.25,42.75,416.782197876601
"302",-100.75,42.75,438.96736778965
"303",-100.25,42.75,445.691714880057
"304",-99.75,42.75,448.844650681829
"305",-99.25,42.75,451.182500267518
"306",-98.75,42.75,443.594407732482
"307",-98.25,42.75,587.621210786951
"308",-97.75,42.75,592.679076400003
"309",-97.25,42.75,610.567709514522
"310",-96.75,42.75,618.116269946464
"311",-96.25,42.75,565.315488032629
"312",-95.75,42.75,568.425713095115
"313",-95.25,42.75,577.98729614378
"314",-94.75,42.75,605.705698502003
"315",-94.25,42.75,626.20882134384
"316",-93.75,42.75,593.520517612109
"317",-93.25,42.75,636.96394271031
"318",-92.75,42.75,638.700541614613
"319",-92.25,42.75,622.056473598903
"320",-91.75,42.75,614.865187989548
"321",-91.25,42.75,663.802698089159
"322",-90.75,42.75,646.167604308575
"323",-90.25,42.75,641.944785334053
"324",-89.75,42.75,639.215917543392
"325",-89.25,42.75,600.235115785967
"326",-88.75,42.75,590.491491826717
"327",-88.25,42.75,607.739037981897
"328",-87.75,42.75,561.053842985944
"329",-87.25,42.75,NA
"330",-86.75,42.75,NA
"331",-86.25,42.75,569.307584084512
"332",-85.75,42.75,473.137492917318
"333",-85.25,42.75,572.91725480929
"334",-84.75,42.75,553.180416594798
"335",-84.25,42.75,555.388209610283
"336",-83.75,42.75,572.311422277067
"337",-83.25,42.75,567.992117127636
"338",-82.75,42.75,449.989204361802
"339",-82.25,42.75,548.743697862927
"340",-81.75,42.75,551.860150986002
"341",-81.25,42.75,501.650312180493
"342",-80.75,42.75,518.66165538854
"343",-80.25,42.75,521.834613905172
"344",-104.25,42.25,390.392762258416
"345",-103.75,42.25,418.846615592018
"346",-103.25,42.25,436.299036609664
"347",-102.75,42.25,408.661985344326
"348",-102.25,42.25,408.232098764507
"349",-101.75,42.25,412.016756144469
"350",-101.25,42.25,434.9664469735
"351",-100.75,42.25,452.389728020076
"352",-100.25,42.25,465.885594871128
"353",-99.75,42.25,468.306463738554
"354",-99.25,42.25,471.563958090614
"355",-98.75,42.25,475.074934221164
"356",-98.25,42.25,471.452694532345
"357",-97.75,42.25,472.132955518609
"358",-97.25,42.25,573.116077180399
"359",-96.75,42.25,625.493027782533
"360",-96.25,42.25,635.293585950043
"361",-95.75,42.25,636.112541024573
"362",-95.25,42.25,649.039709276753
"363",-94.75,42.25,653.475624474813
"364",-94.25,42.25,655.71857330855
"365",-93.75,42.25,653.926916439785
"366",-93.25,42.25,649.068429847248
"367",-92.75,42.25,666.258730673697
"368",-92.25,42.25,639.985090310511
"369",-91.75,42.25,646.808872116264
"370",-91.25,42.25,688.158995592501
"371",-90.75,42.25,682.611037065741
"372",-90.25,42.25,672.901459867222
"373",-89.75,42.25,635.666077522095
"374",-89.25,42.25,647.741048419266
"375",-88.75,42.25,628.57235510007
"376",-88.25,42.25,666.036886782385
"377",-87.75,42.25,623.783480114187
"378",-87.25,42.25,NA
"379",-86.75,42.25,NA
"380",-86.25,42.25,630.669671136886
"381",-85.75,42.25,609.492550842464
"382",-85.25,42.25,580.438978069797
"383",-84.75,42.25,543.452194335696
"384",-84.25,42.25,484.991268889891
"385",-83.75,42.25,623.079679859813
"386",-83.25,42.25,602.535582471814
"387",-82.75,42.25,576.806587324449
"388",-82.25,42.25,573.574989100802
"389",-81.75,42.25,NA
"390",-81.25,42.25,NA
"391",-80.75,42.25,NA
"392",-80.25,42.25,NA
"393",-104.25,41.75,441.633485062048
"394",-103.75,41.75,423.729354082374
"395",-103.25,41.75,396.437643500743
"396",-102.75,41.75,414.42651317548
"397",-102.25,41.75,421.133821659721
"398",-101.75,41.75,429.99418432219
"399",-101.25,41.75,443.630093634594
"400",-100.75,41.75,456.387754602358
"401",-100.25,41.75,471.195467729587
"402",-99.75,41.75,469.32643127488
"403",-99.25,41.75,485.043115538079
"404",-98.75,41.75,489.479239333188
"405",-98.25,41.75,618.576678140322
"406",-97.75,41.75,634.967189303919
"407",-97.25,41.75,643.79156555701
"408",-96.75,41.75,610.663260170026
"409",-96.25,41.75,660.355565082049
"410",-95.75,41.75,667.617877983859
"411",-95.25,41.75,676.716059242259
"412",-94.75,41.75,683.235241513234
"413",-94.25,41.75,620.1547367108
"414",-93.75,41.75,635.171758714481
"415",-93.25,41.75,702.423942095775
"416",-92.75,41.75,687.46889570565
"417",-92.25,41.75,699.589978956152
"418",-91.75,41.75,716.838655833853
"419",-91.25,41.75,721.981155220768
"420",-90.75,41.75,723.415528504178
"421",-90.25,41.75,721.303614991251
"422",-89.75,41.75,635.886601980426
"423",-89.25,41.75,668.572806385462
"424",-88.75,41.75,655.433395344298
"425",-88.25,41.75,692.08488417638
"426",-87.75,41.75,561.208201506408
"427",-87.25,41.75,NA
"428",-86.75,41.75,652.710611036979
"429",-86.25,41.75,652.392071452457
"430",-85.75,41.75,621.558203604072
"431",-85.25,41.75,544.744301684899
"432",-84.75,41.75,659.175346834236
"433",-84.25,41.75,655.143958259607
"434",-83.75,41.75,648.175660436391
"435",-83.25,41.75,619.317637150001
"436",-82.75,41.75,NA
"437",-82.25,41.75,NA
"438",-81.75,41.75,NA
"439",-81.25,41.75,600.965422702022
"440",-80.75,41.75,615.688342485693
"441",-80.25,41.75,616.657832105062
"442",-104.25,41.25,410.220561021939
"443",-103.75,41.25,454.657358089928
"444",-103.25,41.25,493.680454251356
"445",-102.75,41.25,519.663845870644
"446",-102.25,41.25,502.934170363005
"447",-101.75,41.25,445.473760254215
"448",-101.25,41.25,449.441508563934
"449",-100.75,41.25,448.662745652255
"450",-100.25,41.25,474.664461730048
"451",-99.75,41.25,609.46601021383
"452",-99.25,41.25,625.919506740524
"453",-98.75,41.25,633.801893545315
"454",-98.25,41.25,635.892630936112
"455",-97.75,41.25,672.828511474654
"456",-97.25,41.25,675.386476140586
"457",-96.75,41.25,673.85338618877
"458",-96.25,41.25,670.252925236244
"459",-95.75,41.25,675.35898801306
"460",-95.25,41.25,675.794245973229
"461",-94.75,41.25,671.154877244961
"462",-94.25,41.25,672.028142231502
"463",-93.75,41.25,685.056927756872
"464",-93.25,41.25,703.245688824914
"465",-92.75,41.25,727.578771113884
"466",-92.25,41.25,731.19889599015
"467",-91.75,41.25,738.771899726707
"468",-91.25,41.25,723.072878913023
"469",-90.75,41.25,733.545630780281
"470",-90.25,41.25,712.580905780196
"471",-89.75,41.25,692.009160275164
"472",-89.25,41.25,697.070451559033
"473",-88.75,41.25,693.10135402123
"474",-88.25,41.25,703.077262078164
"475",-87.75,41.25,711.82020321046
"476",-87.25,41.25,701.023862259783
"477",-86.75,41.25,552.573346620018
"478",-86.25,41.25,653.575549521949
