# Deepak Jaiswal, David LeBauer, Dan Wang, Tim Wertin, Andrew Leakey, and Steve Long, in prep. Please do not reuse prior to publication without consent of authors
lat,lon,salix_yield
47.89,-123.45,10.05
34.65,-119.59,0.75
34.93,-119.65,2.98
35.21,-119.71,0.11
35.49,-119.77,0.32
35.77,-119.83,0.34
36.05,-119.89,0.42
36.33,-119.95,0.53
36.61,-120.01,1.45
36.89,-120.07,2.56
37.17,-120.13,2.92
37.45,-120.20,1.37
37.73,-120.26,1.10
38.01,-120.33,4.10
38.29,-120.39,2.35
38.58,-120.45,6.31
38.86,-120.52,5.38
39.14,-120.59,3.89
39.42,-120.65,5.16
39.70,-120.72,1.86
39.99,-120.79,1.44
40.27,-120.86,3.66
40.55,-120.93,3.21
40.84,-121.00,3.43
41.12,-121.07,2.30
41.40,-121.14,4.08
41.69,-121.22,2.35
41.97,-121.29,1.93
42.26,-121.36,0.59
42.54,-121.44,2.59
42.82,-121.52,4.66
43.11,-121.59,4.80
43.39,-121.67,4.48
43.68,-121.75,7.44
43.96,-121.83,5.67
44.25,-121.91,6.16
44.53,-121.99,7.48
44.82,-122.07,7.66
45.10,-122.15,11.97
45.39,-122.23,12.56
45.67,-122.32,16.66
45.96,-122.40,11.20
46.24,-122.49,12.20
46.53,-122.58,11.73
46.81,-122.67,13.88
47.10,-122.75,7.05
47.38,-122.84,7.78
47.67,-122.94,6.76
47.95,-123.03,7.11
34.42,-119.20,2.02
34.70,-119.26,1.03
34.98,-119.31,0.11
35.26,-119.37,0.15
35.54,-119.43,0.26
35.82,-119.48,0.31
36.10,-119.54,0.31
36.38,-119.60,0.88
36.66,-119.66,1.60
36.94,-119.72,2.49
37.22,-119.78,2.94
37.50,-119.84,3.13
37.78,-119.91,4.21
38.06,-119.97,3.65
38.34,-120.03,3.00
38.63,-120.09,6.11
38.91,-120.16,6.11
39.19,-120.22,1.99
39.47,-120.29,3.63
39.76,-120.35,3.18
40.04,-120.42,3.86
40.32,-120.49,2.60
40.61,-120.56,2.76
40.89,-120.63,5.86
41.17,-120.70,3.82
41.46,-120.77,4.57
41.74,-120.84,1.54
42.03,-120.91,4.20
