# VanLoocke, Andy, Tracy E. Twine, Marcelo Zeri, and Carl J. Bernacchi. "A regional comparison of water use efficiency for miscanthus, switchgrass and maize." Agricultural and Forest Meteorology 164 (2012): 82-95. http://dx.doi.org/10.1016/j.agrformet.2012.05.016
"lat","lon","aet"
-104.25,37.25,420.763865764689
-103.75,37.25,414.073676180124
-103.25,37.25,419.76793353376
-102.75,37.25,429.792994038318
-102.25,37.25,420.063154126401
-101.75,37.25,428.117200810404
-101.25,37.25,427.780394059257
-100.75,37.25,441.345244707554
-100.25,37.25,447.485274266452
-99.75,37.25,446.660699545653
-99.25,37.25,444.79354961848
-98.75,37.25,437.02898804564
-98.25,37.25,457.37847417123
-97.75,37.25,448.867341368226
-97.25,37.25,444.668323246995
-96.75,37.25,436.197806614509
-96.25,37.25,426.724281699397
-95.75,37.25,414.256873592502
-95.25,37.25,416.314608007131
-94.25,37.25,432.971390243125
-93.75,37.25,440.114833221104
-93.25,37.25,439.836970157456
-92.75,37.25,420.109267142077
-92.25,37.25,407.313836248715
-91.75,37.25,390.080831268337
-91.25,37.25,375.769569099883
-90.75,37.25,358.526709995844
-90.25,37.25,336.65632786334
-89.75,37.25,330.474222140183
-89.25,37.25,317.99295707437
-88.75,37.25,328.067459363971
-88.25,37.25,330.165493976907
-87.75,37.25,316.048110359523
-87.25,37.25,304.41297424701
-86.75,37.25,297.325000397395
-86.25,37.25,313.700615274998
-85.75,37.25,339.655491481797
-85.25,37.25,321.003267713735
-84.75,37.25,309.667243900083
-84.25,37.25,313.193474978441
-83.75,37.25,312.989398647187
-83.25,37.25,320.422475092288
-82.75,37.25,336.007735844818
-82.25,37.25,347.775389790768
-81.75,37.25,348.037919065915
-81.25,37.25,345.911643283878
-80.75,37.25,334.236740298569
-80.25,37.25,328.62641907316
-104.25,37.75,393.668233051299
-103.75,37.75,391.530986622209
-103.25,37.75,394.863506910624
-102.75,37.75,419.50892164791
-102.25,37.75,423.986910688924
-101.75,37.75,427.349260964751
-101.25,37.75,431.725626566564
-100.75,37.75,443.083090569635
-100.25,37.75,451.347186686355
-99.75,37.75,445.94912834093
-99.25,37.75,442.812519929139
-98.75,37.75,435.229524766386
-98.25,37.75,430.263444812153
-97.75,37.75,425.705532372347
-97.25,37.75,460.95885384758
-96.75,37.75,378.105870718442
-96.25,37.75,424.002082236577
-95.75,37.75,395.167563846597
-95.25,37.75,357.856351222494
-94.75,37.75,439.924806986935
-94.25,37.75,445.070107173175
-93.75,37.75,449.620055117644
-93.25,37.75,444.587407330866
-92.75,37.75,421.954970205203
-92.25,37.75,400.197221077629
-91.75,37.75,373.874033601831
-91.25,37.75,365.667789696454
-90.75,37.75,361.472692790121
-90.25,37.75,341.742249028175
-89.75,37.75,338.216164307581
-89.25,37.75,333.993694920017
-88.75,37.75,329.07322386594
-88.25,37.75,343.996646550542
-87.25,37.75,309.201416649244
-86.75,37.75,300.829076410941
-86.25,37.75,299.719668227946
-85.75,37.75,316.994487677817
-85.25,37.75,303.959007465222
-84.75,37.75,305.214412857691
-84.25,37.75,310.187403151067
-83.75,37.75,319.177464725421
-83.25,37.75,335.112902134832
-82.75,37.75,346.137426425441
-82.25,37.75,356.129663250642
-81.75,37.75,355.520533058327
