# Deepak Jaiswal, David LeBauer, Dan Wang, Tim Wertin, and Steve Long, in prep. Please do not reuse prior to publication without consent of authors
"lat","lon","yield"
34.93,-119.65,7.91
35.21,-119.71,0.15
35.49,-119.77,0.49
35.77,-119.83,0.2
36.05,-119.89,0.25
36.33,-119.95,0.46
36.61,-120.01,1.27
36.89,-120.07,1.65
37.17,-120.13,1.9
37.45,-120.2,2.84
37.73,-120.26,1.6
38.01,-120.33,9.39
38.29,-120.39,11.23
38.58,-120.45,11.77
38.86,-120.52,11.94
39.14,-120.59,11.46
39.42,-120.65,12.84
39.7,-120.72,10.97
39.99,-120.79,10.1
40.27,-120.86,11.72
40.55,-120.93,10.98
40.84,-121,10.75
41.12,-121.07,9.1
41.4,-121.14,10.77
41.69,-121.22,7.99
41.97,-121.29,7.57
42.26,-121.36,5.53
42.54,-121.44,5.82
42.82,-121.52,6.48
43.11,-121.59,6.65
43.39,-121.67,6.04
43.68,-121.75,8.59
43.96,-121.83,9.74
44.25,-121.91,11.65
44.53,-121.99,12.3
44.82,-122.07,12.13
45.1,-122.15,14.17
45.39,-122.23,13.79
45.67,-122.32,13.84
45.96,-122.4,13.09
46.24,-122.49,13.21
46.53,-122.58,13.28
46.81,-122.67,13.47
47.1,-122.75,12.72
47.38,-122.84,12.97
47.67,-122.94,12.45
47.95,-123.03,9.74
34.42,-119.2,5.74
34.7,-119.26,6.49
34.98,-119.31,0.14
35.26,-119.37,0.17
35.54,-119.43,0.16
35.82,-119.48,0.27
36.1,-119.54,0.32
36.38,-119.6,0.56
36.66,-119.66,0.97
36.94,-119.72,1.66
37.22,-119.78,4.82
37.5,-119.84,5
37.78,-119.91,10.63
38.06,-119.97,11.17
38.34,-120.03,11.11
38.63,-120.09,11.18
38.91,-120.16,11.45
39.19,-120.22,10.38
39.47,-120.29,10.44
39.76,-120.35,10.53
40.04,-120.42,11.57
40.32,-120.49,10.57
40.61,-120.56,10.83
40.89,-120.63,11.77
41.17,-120.7,12.02
41.46,-120.77,11.13
41.74,-120.84,9.37
42.03,-120.91,10.47
42.31,-120.98,7.04
42.59,-121.05,9.07
42.88,-121.13,6.65
43.16,-121.2,4.73
43.45,-121.28,5.69
43.73,-121.35,4.3
44.02,-121.43,4.37
44.3,-121.51,9.09
44.59,-121.59,9.79
44.87,-121.67,11.36
45.16,-121.75,12.13
45.44,-121.83,13.64
45.73,-121.91,12.7
46.02,-121.99,14
46.3,-122.08,11.18
46.59,-122.16,12.95
46.87,-122.25,13.02
47.16,-122.33,13.08
34.19,-118.81,5.23
34.47,-118.86,5.39
34.74,-118.92,1.65
35.02,-118.97,2.27
35.3,-119.03,0.18
35.58,-119.08,0.29
35.86,-119.14,0.36
36.14,-119.2,0.89
36.42,-119.25,0.75
36.7,-119.31,1.06
36.98,-119.37,9.05
37.27,-119.43,7.34
37.55,-119.49,10.27
37.83,-119.55,8.38
38.11,-119.61,11.88
38.39,-119.67,10.51
38.68,-119.73,10.54
38.96,-119.79,11.99
39.24,-119.86,10.02
39.52,-119.92,7.99
39.81,-119.99,10.45
40.09,-120.05,9.84
40.37,-120.12,8.97
40.66,-120.18,10.67
40.94,-120.25,10.56
41.23,-120.32,10.24
41.51,-120.39,11.06
41.79,-120.46,12.18
42.08,-120.52,8.19
42.36,-120.6,9.47
42.65,-120.67,7.92
42.93,-120.74,7.82
43.22,-120.81,10.27
43.5,-120.88,11.52
43.79,-120.96,9.34
44.07,-121.03,8.74
44.36,-121.11,3.7
44.64,-121.19,3.12
44.93,-121.26,9.11
45.22,-121.34,4.21
45.5,-121.42,4.28
45.79,-121.5,10.39
46.07,-121.58,9.94
46.36,-121.66,10.04
46.64,-121.75,11.35
46.93,-121.83,9.81
47.22,-121.91,13.57
47.5,-122,13.27
47.79,-122.09,12.41
48.07,-122.17,13.12
48.64,-122.35,13.64
48.93,-122.44,13.33
34.23,-118.47,5.93
34.51,-118.52,2.8
34.79,-118.58,3.96
35.07,-118.63,2.24
35.35,-118.68,5.57
35.63,-118.74,1.8
35.91,-118.79,2.39
36.19,-118.85,11.15
36.47,-118.9,7.05
36.75,-118.96,10.03
37.03,-119.02,10.87
37.31,-119.08,9.43
37.59,-119.13,7.78
37.88,-119.19,8.09
38.16,-119.25,8.89
38.44,-119.31,10.66
38.72,-119.37,9.1
39.01,-119.43,9.26
39.29,-119.49,6.93
39.57,-119.55,5.27
39.86,-119.62,8.2
40.14,-119.68,9.06
40.42,-119.74,10.38
40.71,-119.81,8.54
40.99,-119.87,9.69
41.28,-119.94,10.71
41.56,-120.01,8.31
41.85,-120.07,8.14
42.13,-120.14,9.44
42.42,-120.21,8.01
42.7,-120.28,11.91
42.99,-120.35,7.14
43.27,-120.42,10.38
43.56,-120.49,9.48
43.84,-120.56,11.03
44.13,-120.64,10.4
44.41,-120.71,11.22
44.7,-120.78,10.8
44.98,-120.86,9.11
45.27,-120.94,7.53
45.56,-121.01,2.89
45.84,-121.09,11.59
46.13,-121.17,11.75
46.41,-121.25,9.59
46.7,-121.33,10.05
46.99,-121.41,11.3
47.27,-121.49,10.71
47.56,-121.58,13.79
47.85,-121.66,12.96
48.13,-121.75,13.85
48.42,-121.83,13.53
48.7,-121.92,10.3
48.99,-122.01,10.15
33.99,-118.08,6.14
34.27,-118.13,5.69
34.55,-118.19,2.77
34.83,-118.24,1.6
35.11,-118.29,2.94
35.39,-118.34,6.72
35.67,-118.39,5.41
35.95,-118.45,8.21
36.23,-118.5,9.93
36.51,-118.55,9.94
36.79,-118.61,9.72
37.08,-118.66,7.88
37.36,-118.72,8.94
37.64,-118.78,9.08
37.92,-118.83,10.25
38.2,-118.89,7.23
38.49,-118.95,6.1
38.77,-119.01,10.51
39.05,-119.07,8.86
39.34,-119.13,8.09
39.62,-119.19,8.51
39.9,-119.25,5.48
40.19,-119.31,9.83
40.47,-119.37,6.98
40.76,-119.43,8.14
41.04,-119.5,8.81
41.33,-119.56,10.37
41.61,-119.63,9.32
41.89,-119.69,11.76
42.18,-119.76,11.16
42.47,-119.82,8.34
42.75,-119.89,9.02
43.04,-119.96,11.1
43.32,-120.03,9.56
43.61,-120.1,9.77
43.89,-120.17,10.83
44.18,-120.24,10.22
44.46,-120.31,11.23
44.75,-120.38,11.01
45.04,-120.46,10.25
45.32,-120.53,8.83
45.61,-120.6,8.76
45.9,-120.68,12.52
46.18,-120.76,11.45
46.47,-120.83,10.14
46.76,-120.91,11.56
47.04,-120.99,10.5
47.33,-121.07,11.07
47.61,-121.15,9.82
47.9,-121.23,13.03
48.19,-121.32,13.19
48.47,-121.4,10.05
48.76,-121.49,10.03
33.76,-117.7,4.43
34.04,-117.75,7.41
34.31,-117.8,5.29
34.59,-117.85,0.52
34.87,-117.9,1.03
35.15,-117.95,0.79
35.43,-118,1.2
35.71,-118.05,7.43
35.99,-118.1,8.45
36.27,-118.15,8.04
36.56,-118.2,6.05
36.84,-118.26,10.38
37.12,-118.31,11.26
37.4,-118.37,10.99
37.68,-118.42,10.71
37.97,-118.48,8.81
38.25,-118.53,6.51
38.53,-118.59,9.02
38.82,-118.64,4.12
39.1,-118.7,7.1
39.38,-118.76,3.54
39.67,-118.82,4.86
39.95,-118.88,5.52
40.23,-118.94,9.76
40.52,-119,7.91
40.8,-119.06,11.85
41.09,-119.12,10.31
41.37,-119.18,9.88
41.66,-119.24,9.36
41.94,-119.31,9.9
42.23,-119.37,10.16
42.51,-119.44,10.34
42.8,-119.5,9.7
43.09,-119.57,9.49
43.37,-119.63,9.49
43.66,-119.7,9.78
43.94,-119.77,9.9
44.23,-119.84,9.95
44.52,-119.91,8.68
44.8,-119.98,8.95
45.09,-120.05,11.23
45.37,-120.12,8.17
45.66,-120.19,5.64
45.95,-120.27,9.08
46.23,-120.34,8.57
46.52,-120.42,7.76
46.81,-120.49,8.49
47.1,-120.57,12.92
47.38,-120.65,10.64
47.67,-120.73,11.23
47.96,-120.81,10.3
48.24,-120.89,9
48.53,-120.97,9.81
48.82,-121.05,9.89
32.96,-117.23,9.9
33.52,-117.32,4.13
33.8,-117.36,3.09
34.07,-117.41,3.45
34.35,-117.46,4.15
34.63,-117.51,0.49
34.91,-117.56,0.65
35.19,-117.6,1
35.47,-117.65,1.89
35.75,-117.7,1.41
