# Dan Wang, David LeBauer, and Michael Dietze 2013. Predicting yields of short-rotation hybrid poplar (Populus spp.) for the United States through model–data synthesis. Ecological Applications 23:944–958. http://dx.doi.org/10.1890/12-0854.1
"lon","lat","poplar_yield"
-107.25,28.75,2.93
-106.75,28.75,2.66
-106.25,28.75,2.69
-105.75,28.75,2.74
-105.25,28.75,5.82
-104.75,28.75,5.76
-104.25,28.75,5.81
-103.75,28.75,5.77
-103.25,28.75,5.08
-102.75,28.75,5.71
-102.25,28.75,3.91
-101.75,28.75,3.78
-101.25,28.75,4.73
-100.75,28.75,4.41
-100.25,28.75,4.76
-99.75,28.75,5.99
-99.25,28.75,6.79
-98.75,28.75,7.36
-98.25,28.75,8.02
-97.75,28.75,10.4
-97.25,28.75,10.6
-96.75,28.75,10.6
-96.25,28.75,9.76
-95.75,28.75,8.92
-95.25,28.75,9.05
-82.75,28.75,11.5
-82.25,28.75,10.2
-81.75,28.75,11.5
-81.25,28.75,9.83
-80.75,28.75,9.62
-118.25,29.25,9.56
-115.25,29.25,8.78
-114.75,29.25,8.81
-114.25,29.25,8.51
-113.75,29.25,8.12
-113.25,29.25,6.28
-112.25,29.25,5.61
-111.75,29.25,3.04
-111.25,29.25,4.52
-110.75,29.25,6.64
-110.25,29.25,6.5
-109.75,29.25,4.43
-109.25,29.25,3.58
-108.75,29.25,3.42
-108.25,29.25,3.59
-107.75,29.25,3.92
-107.25,29.25,3.62
-106.75,29.25,2.71
-106.25,29.25,2.77
-105.75,29.25,5.97
-105.25,29.25,5.97
-104.75,29.25,5.92
-104.25,29.25,2.78
-103.75,29.25,2.91
-103.25,29.25,2.97
-102.75,29.25,3.82
-102.25,29.25,4.18
-101.75,29.25,4.7
-101.25,29.25,5.42
-100.75,29.25,5.1
-100.25,29.25,4.93
-99.75,29.25,5.83
-99.25,29.25,7.05
-98.75,29.25,6.37
-98.25,29.25,7.26
-97.75,29.25,8.33
-97.25,29.25,8.25
-96.75,29.25,9.07
-96.25,29.25,8.42
-95.75,29.25,7.81
-95.25,29.25,8.44
-94.75,29.25,9.59
-91.25,29.25,11.8
-90.75,29.25,11.9
-90.25,29.25,11.3
-83.25,29.25,9.58
-82.75,29.25,9.61
-82.25,29.25,10.4
-81.75,29.25,10.1
-81.25,29.25,9.59
-80.75,29.25,9.96
-115.75,29.75,8.79
-115.25,29.75,7.28
-114.75,29.75,8.87
-114.25,29.75,8.72
-112.75,29.75,4.04
-112.25,29.75,4.11
-111.75,29.75,6.06
-111.25,29.75,8.35
-110.75,29.75,7.7
-110.25,29.75,6.18
-109.75,29.75,5.47
-109.25,29.75,2.95
-108.75,29.75,3.17
-108.25,29.75,2.76
-107.75,29.75,3.53
-107.25,29.75,3.17
-106.75,29.75,6.08
-106.25,29.75,5.95
-105.75,29.75,5.81
-105.25,29.75,5.57
-104.75,29.75,2.58
-104.25,29.75,2.93
-103.75,29.75,2.76
-103.25,29.75,2.83
-102.75,29.75,2.89
-102.25,29.75,3.7
-101.75,29.75,4.05
-101.25,29.75,4.98
-100.75,29.75,4.96
-100.25,29.75,5.23
-99.75,29.75,6.94
-99.25,29.75,7.26
-98.75,29.75,7.23
-98.25,29.75,7.18
-97.75,29.75,7.77
-97.25,29.75,6.71
-96.75,29.75,7.1
-96.25,29.75,6.39
-95.75,29.75,6.82
-95.25,29.75,8.66
-94.75,29.75,9.55
-94.25,29.75,10.1
-93.75,29.75,10.3
