# Deepak Jaiswal et al, in prep. Please do not reuse prior to publication without consent of authors
"lat","lon","yield"
30.56,-91.94,37.3
30.83,-91.88,35.82
29.97,-91.76,37.48
30.24,-91.69,38.82
30.51,-91.63,38.24
30.78,-91.56,37.59
29.64,-91.51,33
29.91,-91.44,37.94
30.18,-91.38,38.54
30.45,-91.31,38.35
30.72,-91.24,37.89
30.99,-91.18,37.42
29.58,-91.2,37.09
29.85,-91.13,37.42
30.12,-91.07,36.16
30.39,-91,36.41
30.66,-90.93,37.74
30.93,-90.86,37.74
29.25,-90.96,34.07
29.52,-90.89,38.34
29.79,-90.82,36.93
30.06,-90.75,36.79
30.33,-90.68,36.42
30.6,-90.62,37.77
30.87,-90.55,38.09
29.46,-90.58,36.41
29.73,-90.51,37.04
30,-90.44,37.2
30.27,-90.37,36.94
30.54,-90.3,35.69
30.81,-90.23,37.59
29.4,-90.27,36.16
29.67,-90.2,36.23
29.94,-90.13,34.93
30.48,-89.99,36.51
30.75,-89.92,38.33
29.61,-89.89,36.4
29.88,-89.82,34.61
30.15,-89.75,31.23
30.42,-89.68,36.13
30.69,-89.6,39.33
30.96,-89.53,39.67
30.35,-89.36,37.86
30.62,-89.29,40.74
30.89,-89.21,40.84
30.56,-88.98,41.71
30.83,-88.9,41.11
30.49,-88.66,41.05
30.76,-88.58,41.7
30.69,-88.27,43.69
30.96,-88.19,42.68
30.89,-87.88,43.88
30.55,-87.65,47.45
30.82,-87.57,44.18
30.75,-87.25,45.03
30.67,-86.94,41.82
30.94,-86.86,41.71
30.6,-86.63,41.12
30.87,-86.55,40.6
30.52,-86.32,24.25
30.79,-86.23,39.28
30.45,-86.01,34.82
30.71,-85.92,37.73
30.98,-85.83,38.41
30.37,-85.71,34.36
30.64,-85.62,37.46
30.9,-85.52,36.59
30.03,-85.49,33.88
30.29,-85.4,39.08
30.56,-85.31,38.23
30.82,-85.21,36.5
29.95,-85.18,37.06
30.21,-85.09,39.38
30.48,-85,37.83
30.74,-84.91,36.5
29.87,-84.88,36.18
30.13,-84.79,39.65
30.4,-84.69,36.69
30.66,-84.6,35.98
30.93,-84.5,34.82
30.05,-84.48,37.04
30.32,-84.39,37.35
30.58,-84.29,38.17
30.85,-84.19,36.7
30.23,-84.08,38.08
30.5,-83.98,37.68
30.76,-83.89,38.36
30.15,-83.77,39.87
30.41,-83.68,38.66
30.68,-83.58,38.76
30.94,-83.48,37.85
30.06,-83.47,40.28
30.33,-83.37,39.59
30.59,-83.27,39.2
30.85,-83.17,37.4
29.72,-83.27,39.8
29.98,-83.17,39.78
30.24,-83.07,39.14
30.5,-82.97,38.77
30.77,-82.86,38.46
29.37,-83.07,38.71
29.63,-82.97,39.18
29.89,-82.87,39.84
30.15,-82.76,40.12
30.42,-82.66,38.81
30.68,-82.56,38.52
30.94,-82.45,39.12
29.28,-82.77,38.44
29.54,-82.67,38.25
29.8,-82.56,39.86
30.06,-82.46,40.42
30.33,-82.36,40.62
30.59,-82.25,39.11
30.85,-82.15,38.85
28.93,-82.57,35.72
29.19,-82.47,38.27
29.45,-82.37,38.8
29.71,-82.26,39.52
29.98,-82.16,40.41
30.24,-82.06,40.03
30.5,-81.95,39.73
30.76,-81.84,39.2
28.07,-82.57,30.92
28.33,-82.47,31.08
28.58,-82.37,34.51
28.84,-82.27,37.02
29.1,-82.17,37.11
29.36,-82.07,39.09
29.62,-81.96,39.52
29.88,-81.86,41.23
30.15,-81.75,39.89
30.41,-81.65,37.72
30.67,-81.54,37.75
27.46,-82.48,36.46
27.72,-82.38,35.38
27.98,-82.28,33.68
28.24,-82.18,33.29
28.5,-82.08,33.32
28.75,-81.98,36.36
29.01,-81.87,37.86
29.27,-81.77,39.08
29.53,-81.66,39.65
29.79,-81.56,40.28
30.05,-81.45,38.9
27.12,-82.29,38.03
27.37,-82.19,38.43
27.63,-82.09,36.6
27.89,-81.99,36.4
28.15,-81.89,35.36
28.41,-81.78,34.97
28.66,-81.68,38.22
28.92,-81.58,37.36
29.18,-81.47,38.98
29.44,-81.37,40.21
29.7,-81.26,39.29
27.03,-82,37.26
27.29,-81.9,38.14
27.54,-81.8,38.28
27.8,-81.7,37.43
28.06,-81.59,37.1
28.31,-81.49,37.63
28.57,-81.39,37.1
28.83,-81.28,39.61
29.09,-81.18,40.46
26.68,-81.81,38.24
26.94,-81.71,38.88
27.2,-81.61,38.46
27.45,-81.51,38.6
27.71,-81.41,38.3
27.97,-81.3,37.73
28.22,-81.2,38.21
28.48,-81.09,39.36
28.74,-80.99,41.67
26.34,-81.63,38.08
26.59,-81.53,38.32
26.85,-81.43,38.07
27.1,-81.32,38.64
27.36,-81.22,38.74
27.62,-81.12,38.35
27.87,-81.01,39.37
28.13,-80.91,37.54
28.39,-80.8,40.23
25.99,-81.45,39.71
26.25,-81.34,37.98
26.5,-81.24,37.92
26.76,-81.14,37.62
27.01,-81.04,37.61
27.27,-80.93,39.11
27.52,-80.83,39.67
27.78,-80.72,39.66
25.65,-81.26,8.32
25.9,-81.16,36.85
26.16,-81.06,14.78
26.41,-80.96,39.03
26.66,-80.86,38.76
27.17,-80.65,40.62
27.43,-80.54,39.81
27.69,-80.43,0
25.56,-80.98,11.9
25.81,-80.88,12.27
26.06,-80.78,16.1
26.32,-80.67,13.5
26.57,-80.57,13.25
26.83,-80.47,40.71
27.08,-80.36,42.13
25.21,-80.81,9.65
25.47,-80.7,29.74
25.72,-80.6,10.61
25.97,-80.5,42.73
26.22,-80.39,21.97
26.48,-80.29,43.86
26.73,-80.18,43.62
25.37,-80.42,12.71
25.88,-80.22,42.24
