# VanLoocke, Andy, Tracy E. Twine, Marcelo Zeri, and Carl J. Bernacchi. "A regional comparison of water use efficiency for miscanthus, switchgrass and maize." Agricultural and Forest Meteorology 164 (2012): 82-95. https://doi.org/10.1016/j.agrformet.2012.05.016
"lat","lon","aet"
-104.25,37.25,413.357985240043
-103.75,37.25,412.195000362932
-103.25,37.25,407.507841407089
-102.75,37.25,416.220819564012
-102.25,37.25,404.301194056723
-101.75,37.25,411.600888404908
-101.25,37.25,412.073852923815
-100.75,37.25,425.375236273569
-100.25,37.25,432.794437996228
-99.75,37.25,432.514252664172
-99.25,37.25,431.277737651719
-98.75,37.25,426.023743005935
-98.25,37.25,444.155227025811
-97.75,37.25,432.819247957028
-97.25,37.25,430.719589618617
-96.75,37.25,427.544880079338
-96.25,37.25,422.882106746023
-95.75,37.25,412.541544987005
-95.25,37.25,415.729747230827
-94.25,37.25,434.53455845904
-93.75,37.25,442.223852166906
-93.25,37.25,444.324667558227
-92.75,37.25,427.495415042038
-92.25,37.25,416.112992325798
-91.75,37.25,398.409811116057
-91.25,37.25,384.430367886584
-90.75,37.25,367.178201959134
-90.25,37.25,344.944863044773
-89.75,37.25,338.159511809703
-89.25,37.25,325.352282299777
-88.75,37.25,335.016209840076
-88.25,37.25,337.812978569738
-87.75,37.25,322.092407475749
-87.25,37.25,309.873758979782
-86.75,37.25,303.215816168638
-86.25,37.25,321.375241184316
-85.75,37.25,350.445848481584
-85.25,37.25,330.945816920226
-84.75,37.25,317.889397382198
-84.25,37.25,321.295196995561
-83.75,37.25,321.563061621724
-83.25,37.25,329.503722281574
-82.75,37.25,345.245325371332
-82.25,37.25,357.432591945631
-81.75,37.25,358.864678474201
-81.25,37.25,356.713246084184
-80.75,37.25,345.414472088218
-80.25,37.25,339.974566338558
-104.25,37.75,392.517828749493
-103.75,37.75,391.504231393395
-103.25,37.75,394.513164947479
-102.75,37.75,414.457728153327
-102.25,37.75,415.090708883537
-101.75,37.75,408.188661427703
-101.25,37.75,412.382418068126
-100.75,37.75,424.479340815451
-100.25,37.75,438.734364388511
-99.75,37.75,430.943407567218
-99.25,37.75,427.466279094107
-98.75,37.75,421.677562035387
-98.25,37.75,418.732832253445
-97.75,37.75,408.359423321679
-97.25,37.75,436.759211893659
-96.75,37.75,364.17428712201
-96.25,37.75,412.997389545199
-95.75,37.75,388.484506277659
-95.25,37.75,354.992139243172
-94.75,37.75,440.175835650414
-94.25,37.75,445.668463045731
-93.75,37.75,450.848074410867
-93.25,37.75,449.389677375671
-92.75,37.75,428.467424599337
-92.25,37.75,407.421361095388
-91.75,37.75,380.454015991272
-91.25,37.75,373.01051446842
-90.75,37.75,368.460515462153
-90.25,37.75,348.237194949877
-89.75,37.75,343.360819612921
-89.25,37.75,338.581981419207
-88.75,37.75,332.419949075207
-88.25,37.75,346.66746264277
-87.25,37.75,310.383608971024
-86.75,37.75,302.298980513588
-86.25,37.75,302.280380490702
-85.75,37.75,323.380890754139
-85.25,37.75,311.0525819459
-84.75,37.75,311.79905888049
-84.25,37.75,316.848684118828
-83.75,37.75,325.922536448692
-83.25,37.75,342.420500896231
-82.75,37.75,353.901131272491
-82.25,37.75,364.598142317613
-81.75,37.75,365.064323035185
-81.25,37.75,368.555515395128
-80.75,37.75,358.727046728323
-80.25,37.75,359.629974287353
-104.25,38.25,376.680215813743
-103.75,38.25,376.428736743168
-103.25,38.25,391.490136390028
-102.75,38.25,407.663244198615
-102.25,38.25,417.943668989697
-101.75,38.25,427.370110071832
-101.25,38.25,412.705904377624
-100.75,38.25,341.89143496941
-100.25,38.25,354.483416066621
-99.75,38.25,439.068719865521
-99.25,38.25,436.390789568104
-98.75,38.25,432.029648443451
-98.25,38.25,433.424405690166
-97.75,38.25,445.610889911404
-97.25,38.25,444.709819897369
-96.75,38.25,492.067143742461
-96.25,38.25,462.825495040976
-95.75,38.25,450.170241433014
-95.25,38.25,424.02610765188
-94.75,38.25,434.316690414737
-94.25,38.25,447.073834989802
-93.75,38.25,513.289354976616
-93.25,38.25,497.792317154119
-92.75,38.25,408.049495898071
-92.25,38.25,384.190391684941
-91.75,38.25,389.217894646223
-91.25,38.25,373.606561721797
-90.75,38.25,372.010689276387
-90.25,38.25,361.10517240176
-89.75,38.25,372.092068862519
-89.25,38.25,369.530003024585
-85.75,38.25,309.89047528943
-85.25,38.25,309.563489580716
-84.75,38.25,314.923347756761
-84.25,38.25,322.908676610503
-83.75,38.25,327.582212355192
-83.25,38.25,340.253348889877
