# VanLoocke, Andy, Tracy E. Twine, Marcelo Zeri, and Carl J. Bernacchi. "A regional comparison of water use efficiency for miscanthus, switchgrass and maize." Agricultural and Forest Meteorology 164 (2012): 82-95. http://dx.doi.org/10.1016/j.agrformet.2012.05.016
"lat","lon","aet"
-104.25,37.25,384.137784026796
-103.75,37.25,384.166322867539
-103.25,37.25,367.801825119963
-102.75,37.25,376.687948774197
-102.25,37.25,369.476809657441
-101.75,37.25,377.660070961421
-101.25,37.25,376.360570909143
-100.75,37.25,385.698813011608
-100.25,37.25,395.05091357138
-99.75,37.25,394.720982699771
-99.25,37.25,391.776511041215
-98.75,37.25,394.218180136173
-98.25,37.25,397.624300015334
-97.75,37.25,387.169704719767
-97.25,37.25,384.456192753889
-96.75,37.25,385.376630692801
-96.25,37.25,383.014722758613
-95.75,37.25,380.584651893121
-95.25,37.25,386.285233193135
-94.25,37.25,401.463605799596
-93.75,37.25,404.717258759658
-93.25,37.25,408.122235822142
-92.75,37.25,396.968525261182
-92.25,37.25,387.599210472812
-91.75,37.25,374.606460352357
-91.25,37.25,362.791218181976
-90.75,37.25,350.668441642629
-90.25,37.25,331.65544459183
-89.75,37.25,324.27646840876
-89.25,37.25,314.025634805432
-88.75,37.25,322.803368645022
-88.25,37.25,326.371849220188
-87.75,37.25,317.002760639007
-87.25,37.25,309.788407179178
-86.75,37.25,305.186901336187
-86.25,37.25,316.703500206466
-85.75,37.25,334.703707194189
-85.25,37.25,317.873499636422
-84.75,37.25,306.466596983038
-84.25,37.25,312.246572427353
-83.75,37.25,313.087540452078
-83.25,37.25,319.813312083919
-82.75,37.25,333.87353073644
-82.25,37.25,346.99106946477
-81.75,37.25,346.773294432438
-81.25,37.25,343.088546256709
-80.75,37.25,334.692873756634
-80.25,37.25,332.636025708867
-104.25,37.75,365.048880347633
-103.75,37.75,364.75097269757
-103.25,37.75,368.979981845361
-102.75,37.75,386.413241011702
-102.25,37.75,389.14315003471
-101.75,37.75,371.299868485017
-101.25,37.75,375.346898889286
-100.75,37.75,379.480727486887
-100.25,37.75,405.76902449457
-99.75,37.75,395.542247591424
-99.25,37.75,389.359466473281
-98.75,37.75,387.221195669321
-98.25,37.75,383.595486636743
-97.75,37.75,365.056978561479
-97.25,37.75,373.391465657856
-96.75,37.75,289.991078575229
-96.25,37.75,361.791299546836
-95.75,37.75,354.977113537374
-95.25,37.75,304.100415931312
-94.75,37.75,405.292363194574
-94.25,37.75,409.476871958468
-93.75,37.75,414.671891429694
-93.25,37.75,411.017936962657
-92.75,37.75,396.988908137428
-92.25,37.75,381.224063928239
-91.75,37.75,360.449740773882
-91.25,37.75,353.812029465917
-90.75,37.75,350.541702487375
-90.25,37.75,333.254968454799
-89.75,37.75,329.754940301122
-89.25,37.75,327.372881141564
-88.75,37.75,323.362166339997
-88.25,37.75,335.853788173787
-87.25,37.75,314.89954140957
-86.75,37.75,308.454632973531
-86.25,37.75,307.150770289474
-85.75,37.75,319.464747618709
-85.25,37.75,307.234431920231
-84.75,37.75,308.466710508452
-84.25,37.75,313.240876525699
-83.75,37.75,319.915487407125
-83.25,37.75,334.826322849025
-82.75,37.75,344.435413962055
-82.25,37.75,353.934781451826
-81.75,37.75,353.750164574289
-81.25,37.75,354.578866720389
-80.75,37.75,346.705797626928
-80.25,37.75,345.97160592326
-104.25,38.25,349.261919658868
-103.75,38.25,349.721362540266
-103.25,38.25,363.105775104632
-102.75,38.25,378.517190405459
-102.25,38.25,388.289679395733
-101.75,38.25,394.738828159869
-101.25,38.25,372.028963505523
-100.75,38.25,275.682379517209
-100.25,38.25,286.270248814253
-99.75,38.25,394.094481220294
-99.25,38.25,391.111925001955
-98.75,38.25,388.911811443744
-98.25,38.25,387.712891915871
-97.75,38.25,390.369025502354
-97.25,38.25,374.041506030131
-96.75,38.25,445.573832419235
-96.25,38.25,401.516154393162
-95.75,38.25,404.162549207278
-95.25,38.25,371.277497577481
-94.75,38.25,375.83137662895
-94.25,38.25,381.14938031527
-93.75,38.25,475.477730320301
-93.25,38.25,467.962101958925
-92.75,38.25,367.860197754111
-92.25,38.25,351.053209027508
-91.75,38.25,371.029245890866
-91.25,38.25,356.045002845698
-90.75,38.25,353.60238702246
-90.25,38.25,344.509829922114
-89.75,38.25,353.550315858913
-89.25,38.25,352.552880231051
-85.75,38.25,310.808392594088
-85.25,38.25,309.239398257923
-84.75,38.25,312.027165384963
-84.25,38.25,318.266163513763
-83.75,38.25,322.738971620187
-83.25,38.25,332.778597850702
-82.75,38.25,344.916511580348
-82.25,38.25,352.863934036577
-81.75,38.25,362.233175345813
-81.25,38.25,370.658957602573
-80.75,38.25,365.41980892641
-80.25,38.25,364.53785006149
-104.25,38.75,345.318439812807
-103.75,38.75,345.207926983712
-103.25,38.75,351.880996470813
-102.75,38.75,361.861885741673
-102.25,38.75,385.519953616778
-101.75,38.75,392.129598473635
-101.25,38.75,393.808590569795
-100.75,38.75,402.558632007451
-100.25,38.75,382.774096444395
-99.75,38.75,389.717746704351
-99.25,38.75,390.188492587069
-98.75,38.75,391.982154327845
-98.25,38.75,395.947996486851
-97.75,38.75,400.003488889663
-97.25,38.75,391.94402498845
-96.75,38.75,401.156071361154
-96.25,38.75,315.632498271298
-95.75,38.75,424.367852758151
-95.25,38.75,316.620724892142
-94.75,38.75,443.712093114504
-94.25,38.75,448.993934151251
-93.75,38.75,491.560147002456
-93.25,38.75,487.200971565908
-92.75,38.75,476.304933005711
-92.25,38.75,368.388516700594
-91.75,38.75,346.65911871838
-91.25,38.75,327.23750880931
