# Miguez, F. E., Maughan, M., Bollero, G. A., & Long, S. P. (2012). Modeling spatial and dynamic variation in growth, yield, and yield stability of the bioenergy crops Miscanthus× giganteus and Panicum virgatum across the conterminous United States. Gcb Bioenergy, 4(5), 509-520. http://dx.doi.org/10.1111/j.1757-1707.2011.01150.x
lat,lon,pavi_yield
30.16853622,-104.6051365,0.004189372
31.86776924,-107.1681976,0.004225526
33.54772186,-106.835497,0.004228999
29.59686759,-103.9918097,0.004233995
40.59111023,-110.9919685,0.004272919
33.11559776,-112.1997164,0.004295607
33.54394913,-106.1610144,0.004302991
33.44765374,-115.2704832,0.004305391
36.95986655,-117.200169,0.004310099
35.30759811,-116.5732919,0.004321033
36.91479394,-114.6798019,0.004369155
39.44465736,-115.3930969,0.004372045
35.09619141,-115.8431667,0.004383425
36.09381387,-114.2220114,0.00438562
31.57092094,-105.2061883,0.004420785
39.76191232,-115.0632359,0.004422397
37.07010749,-116.1381819,0.004426569
39.19055656,-114.9835259,0.00442906
33.56168267,-113.9293154,0.004454689
38.81504342,-118.6443137,0.004467115
34.59335807,-117.8465305,0.004486341
30.9236975,-102.6335218,0.004491052
32.14683151,-107.1689335,0.004491382
35.25661087,-119.3693122,0.004499676
42.64816186,-120.6664793,0.004500832
36.39573768,-117.1040974,0.004527148
37.12309167,-111.477226,0.004530784
48.24221039,-120.8865854,0.004546316
44.68198875,-115.4046304,0.00455192
29.81851147,-102.7077735,0.004585817
36.15150833,-116.7080228,0.004631287
32.91989899,-114.864927,0.004661241
35.99396896,-118.1001203,0.004668955
48.18693641,-104.1598855,0.004672664
37.48218918,-114.7535671,0.004678219
35.19327927,-104.0593742,0.004679198
33.28196815,-113.8982662,0.004739077
39.50618264,-114.652895,0.004749465
32.85467911,-111.8438147,0.004753553
44.64445114,-121.186186,0.004762206
48.80632302,-107.2269974,0.004805043
33.24045944,-104.8223973,0.004862668
31.85560177,-105.5265195,0.004886149
39.42633057,-118.3922193,0.004905492
33.00259301,-113.867472,0.004905841
43.83132652,-109.2186257,0.004921053
44.74404624,-114.5910856,0.004938418
38.90522003,-114.9442751,0.004966737
44.45485786,-114.5498197,0.004992858
34.65665337,-114.3982662,0.005008129
42.19987106,-121.7478367,0.005030669
32.74851128,-113.5053676,0.005065278
36.22243401,-116.0093824,0.005084081
37.1369181,-115.4281062,0.005084362
44.26976013,-112.894136,0.005094681
32.39173126,-104.5203358,0.005107165
32.1912384,-113.4480094,0.005112607
39.09249878,-116.0866182,0.005133727
35.88700104,-113.1420918,0.005163792
32.41886139,-114.136574,0.005186705
36.40357688,-113.9043867,0.005189678
44.27819061,-119.4389321,0.005192089
32.96007156,-104.8321169,0.005193693
37.59410378,-119.1329693,0.005198888
32.69739151,-114.1682742,0.005210421
40.64093879,-109.4744204,0.005235952
32.97626397,-114.2002312,0.00525217
41.11497399,-123.0254635,0.005288027
44.43578819,-107.2084811,0.005299241
36.57076165,-115.3484133,0.005309524
31.86778352,-106.8398206,0.005321925
39.22043991,-114.6150262,0.00542215
31.29875805,-105.5393642,0.005434682
45.55376816,-110.1236245,0.005442115
33.41459176,-111.8873808,0.005456157
34.37326333,-105.1242216,0.005575377
30.07770637,-102.3706318,0.005578669
30.64680192,-102.6523206,0.00560755
38.07984924,-114.4672891,0.005613219
32.98628136,-106.8369753,0.005641952
42.63977051,-110.3526284,0.005645598
45.25011346,-110.519308,0.005684846
39.57260612,-119.5545024,0.005708193
34.9902916,-116.8716143,0.005733888
39.93427178,-121.159792,0.005788901
34.6708689,-107.8627893,0.005811313
40.27911857,-118.564037,0.005822081
29.80210064,-102.3903083,0.005837156
34.91033653,-109.9355068,0.005859697
30.90690324,-102.3106116,0.005875389
42.92920783,-110.3703825,0.005901821
45.42922112,-113.0247247,0.005942616
43.21881104,-110.388298,0.0059496
31.80064152,-103.5585248,0.005994587
32.68003845,-104.8417686,0.005997688
40.89376351,-110.6312679,0.006035725
36.88491821,-115.0341147,0.006069833
36.94332886,-114.3251264,0.006110221
41.70408729,-118.8621327,0.006111141
41.82518867,-106.4227755,0.006127982
33.94155884,-116.0200638,0.006132811
43.53188804,-109.6068019,0.006141508
44.58166885,-112.5194242,0.006153329
39.67687705,-112.0512292,0.006233995
29.74586918,-101.438986,0.006281824
39.58786294,-113.5398026,0.00632892
38.08675864,-107.186186,0.006395302
31.84949783,-105.1983089,0.006410016
44.42478943,-114.954674,0.006432964
30.63010696,-102.3307973,0.006437234
44.39315894,-115.3590295,0.006470974
36.32686996,-110.0047337,0.006507257
32.57525155,-111.8223208,0.00655213
34.14781189,-113.6532691,0.006554175
34.65543267,-105.1156119,0.0065806
42.87936881,-121.1272029,0.006589437
48.58233741,-120.5344292,0.00660864
34.09520242,-114.3310665,0.006612671
42.48368356,-121.8247759,0.006624015
31.50898933,-103.2473814,0.006656167
30.88891842,-101.9878771,0.006673277
38.75390145,-113.0772358,0.006696967
30.98970702,-104.2503145,0.006717539
43.50856879,-110.4064139,0.006767077
43.23117065,-109.9906998,0.006829545
33.82895759,-107.1735227,0.006861702
39.84834191,-113.9457668,0.006872203
34.28684998,-115.3834765,0.006886877
38.65529153,-106.0869101,0.007012793
38.52318954,-115.9978736,0.007050751
38.87411401,-115.3105946,0.007097182
44.97234246,-110.0893077,0.007098689
34.74645135,-116.4855022,0.007120903
34.34624863,-104.0996357,0.007161041
43.64247611,-113.6305943,0.007192616
40.09566399,-107.1927315,0.007193848
35.02687356,-116.5291977,0.007194884
